연도,소한,대한,입춘,우수,경칩,춘분,청명,곡우,입하,소만,망종,하지,소서,대서,입추,처서,백로,추분,한로,상강,입동,소설,대설,동지
1996,1월 6일,1월 21일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
1997,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1998,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 8일,11월 22일,12월 7일,12월 22일
1999,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
2000,1월 6일,1월 21일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2001,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2002,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2003,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
2004,1월 6일,1월 21일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2005,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2006,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2007,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
2008,1월 6일,1월 21일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2009,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2010,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2011,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
2012,1월 6일,1월 21일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2013,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2014,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2015,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
2016,1월 6일,1월 21일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 20일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2017,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2018,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2019,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
2020,1월 6일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 19일,5월 5일,5월 20일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2021,1월 5일,1월 20일,2월 3일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2022,1월 5일,1월 20일,2월 4일,2월 19일,3월 5일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2023,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
2024,1월 6일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 19일,5월 5일,5월 20일,6월 5일,6월 21일,7월 6일,7월 22일,8월 7일,8월 22일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2025,1월 5일,1월 20일,2월 3일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2026,1월 5일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2027,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
2028,1월 6일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 19일,5월 5일,5월 20일,6월 5일,6월 21일,7월 6일,7월 22일,8월 7일,8월 22일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 6일,12월 21일
2029,1월 5일,1월 20일,2월 3일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2030,1월 5일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2031,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 8일,11월 22일,12월 7일,12월 22일
2032,1월 6일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 19일,5월 5일,5월 20일,6월 5일,6월 21일,7월 6일,7월 22일,8월 7일,8월 22일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 6일,12월 21일
2033,1월 5일,1월 20일,2월 3일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2034,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2035,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2036,1월 6일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 19일,5월 5일,5월 20일,6월 5일,6월 21일,7월 6일,7월 22일,8월 7일,8월 22일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 6일,12월 21일
2037,1월 5일,1월 20일,2월 3일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2038,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2039,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2040,1월 6일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 19일,5월 5일,5월 20일,6월 5일,6월 21일,7월 6일,7월 22일,8월 7일,8월 22일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 6일,12월 21일
2041,1월 5일,1월 20일,2월 3일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2042,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2043,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2044,1월 6일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 19일,5월 5일,5월 20일,6월 5일,6월 21일,7월 6일,7월 22일,8월 7일,8월 22일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 6일,12월 21일
2045,1월 5일,1월 20일,2월 3일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 20일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2046,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2047,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
2048,1월 6일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 19일,5월 5일,5월 20일,6월 5일,6월 21일,7월 6일,7월 22일,8월 7일,8월 22일,9월 7일,9월 22일,10월 7일,10월 23일,11월 7일,11월 22일,12월 6일,12월 21일
2049,1월 5일,1월 20일,2월 3일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 20일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 22일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
2050,1월 5일,1월 20일,2월 4일,2월 18일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
