연도,소한,대한,입춘,우수,경칩,춘분,청명,곡우,입하,소만,망종,하지,소서,대서,입추,처서,백로,추분,한로,상강,입동,소설,대설,동지
1932,1월 6일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 7일,11월 22일,12월 7일,12월 22일
1933,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1934,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1935,1월 6일,1월 21일,2월 5일,2월 19일,3월 6일,3월 21일,4월 6일,4월 21일,5월 6일,5월 22일,6월 7일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1936,1월 6일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1937,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1938,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1939,1월 6일,1월 21일,2월 5일,2월 19일,3월 6일,3월 21일,4월 6일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1940,1월 6일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1941,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1942,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1943,1월 6일,1월 21일,2월 5일,2월 19일,3월 6일,3월 21일,4월 6일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1944,1월 6일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1945,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1946,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1947,1월 6일,1월 21일,2월 5일,2월 19일,3월 6일,3월 21일,4월 6일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1948,1월 6일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1949,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1950,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1951,1월 6일,1월 21일,2월 5일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1952,1월 6일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1953,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
1954,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 21일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1955,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1956,1월 6일,1월 21일,2월 5일,2월 20일,3월 5일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1957,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
1958,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1959,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1960,1월 6일,1월 21일,2월 5일,2월 20일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1961,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
1962,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 24일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1963,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1964,1월 6일,1월 21일,2월 5일,2월 19일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1965,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
1966,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1967,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1968,1월 6일,1월 21일,2월 5일,2월 19일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1969,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1970,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1971,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1972,1월 6일,1월 21일,2월 5일,2월 19일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1973,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1974,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1975,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1976,1월 6일,1월 21일,2월 5일,2월 19일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1977,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1978,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1979,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1980,1월 6일,1월 21일,2월 5일,2월 19일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
